material_id,formula,utility_tier,predicted_latent_bandgap_eV,stage1_score,energy_above_hull,is_dark_matter
mp-19237,Sr2MoO4,Tier 3 (Refractory),1.3058093,1.2353333709788321,0.017990347857142,True
mp-14410,Tl6TeO12,Tier 1 (Standard),1.2346574,1.2346574068069458,0.0,True
mp-1095039,Sr2HfCrO6,Tier 1 (Standard),1.3700414,1.234341395727162,0.033016028468754,True
mp-1205595,Ba2TmMoO6,Tier 3 (Refractory),1.2338456,1.233845591545105,0.0,True
mp-1113808,Rb2MnCuF6,Tier 1 (Standard),1.275247,1.2334781733680293,0.010917833999999,True
mp-15639,HgRhF6,Tier 1 (Standard),1.233336,1.2333359718322754,0.0,True
mp-541674,NaMo2(PO4)3,Tier 3 (Refractory),1.2958976,1.2328035393511314,0.016229179305545,True
mp-867727,Li5(BiO3)4,Tier 1 (Standard),1.322725,1.2327008638824355,0.022686547291671,True
mp-20784,Ta3PbS6,Tier 3 (Refractory),1.2325835,1.2325835227966309,0.0,True
mp-1204447,Nd4(TmS2)11,Tier 2 (Exotic),1.342068,1.2323705023277778,0.027245876790534,True
mp-1029357,NaZnN,Tier 1 (Standard),1.2319064,1.2319064140319824,0.0,True
mp-694954,Ca9LaTi9MnO30,Tier 2 (Exotic),1.3168936,1.2318112303001763,0.021536123273818,True
mp-1379819,Y2Fe2O7,Tier 1 (Standard),1.2318021,1.2318021059036255,0.0,True
mp-684621,Cu13I15,Tier 1 (Standard),1.2314037,1.2314037084579468,0.0,True
mp-1220019,Pr3Mn4PbO12,Tier 2 (Exotic),1.3464651,1.2309405539266232,0.028599467828113,True
mp-1029843,Ba2CrN3,Tier 1 (Standard),1.230713,1.2307130098342896,0.0,True
mp-1219461,Sb(WO3)5,Tier 3 (Refractory),1.4418217,1.2306193551810907,0.048827660178577,True
mp-1199201,La4(HoS2)11,Tier 2 (Exotic),1.3020713,1.2303659124518767,0.018356756824324,True
mp-1208471,Sr3MnBiO6,Tier 1 (Standard),1.2314647,1.2300435711110926,0.000384683500001,True
mp-33339,Ba3Ti3O8,Tier 1 (Standard),1.425596,1.229509452749195,0.045849021785706,True
mp-676273,Pr2SbO2,Tier 2 (Exotic),1.2896392,1.2295039270566592,0.015543185999999,True
mp-6696,K2Ti2(PO4)3,Tier 1 (Standard),1.2521187,1.2293462452115864,0.006062380872167,True
mp-505268,BaLu2CuO5,Tier 2 (Exotic),1.4147503,1.2293191257998168,0.043689972916674,True
mp-1211393,LaTi4Mn3O12,Tier 2 (Exotic),1.3774338,1.2291653059087198,0.035880362801719,True
mp-1227306,BaSrN,Tier 1 (Standard),1.2668368,1.2284814298640916,0.010092153333334,True
mp-769856,Li4Fe3NiO8,Tier 1 (Standard),1.258785,1.227621053536589,0.008252390364582,True
mp-1522409,Sr2EuSbO6,Tier 2 (Exotic),1.4292663,1.2276094764775103,0.047030389499998,True
mp-1276532,VReO4,Tier 3 (Refractory),1.2718287,1.2273241056016286,0.011664188090279,True
mp-1030649,Li6RuN4,Tier 1 (Standard),1.2270521,1.227052092552185,0.0,True
mp-24208,CrH2,Tier 1 (Standard),1.2351652,1.226714951127361,0.002280474166666,True
mp-1223185,La4Fe3NiO12,Tier 2 (Exotic),1.2795471,1.2266797704605354,0.013772405624999,True
mp-1177448,Li4Cr(TeO4)3,Tier 1 (Standard),1.4058094,1.2263520448751923,0.042551372250002,True
mp-755112,Li5Mn3(PO4)4,Tier 1 (Standard),1.273491,1.226141787248864,0.012393553571431,True
mp-560745,AuN5O14,Tier 1 (Standard),1.2261189,1.2261189222335815,0.0,True
mp-1290930,Li4Cr3NiO8,Tier 1 (Standard),1.2958523,1.2261181744478375,0.017937777031249,True
mp-1218978,SmTmS2,Tier 2 (Exotic),1.2254773,1.2254773378372192,0.0,True
mp-818654,Na2FePO5,Tier 1 (Standard),1.4305327,1.22504358424663,0.04788172277778,True
mp-9522,K(ThSe3)2,Tier 4 (Extreme),1.2243885,1.2243884801864624,0.0,True
mp-559998,Cs(OsO3)2,Tier 1 (Standard),1.2239172,1.2239172458648682,0.0,True
mp-757607,Na(WO3)10,Tier 3 (Refractory),1.2366526,1.2237930019821408,0.00346624173787,True
mp-1211760,KEu2Cl7,Tier 2 (Exotic),1.2237518,1.2237517833709717,0.0,True
mp-997159,CrAuO2,Tier 1 (Standard),1.2245429,1.2235864729389878,0.000260337499987,True
mp-12417,Ba2CaReO6,Tier 3 (Refractory),1.2227932,1.2227932214736938,0.0,True
mp-1228134,Ba4Sm(CuO3)3,Tier 2 (Exotic),1.2306509,1.2223823191390988,0.002239623124987,True
mp-755419,Bi2TeO2,Tier 1 (Standard),1.2233572,1.2221790635975072,0.000321011999998,True
mp-989647,YReN3,Tier 3 (Refractory),1.2221555,1.2221554517745972,0.0,True
mp-540609,CsMnI3,Tier 1 (Standard),1.2298651,1.2217131484179056,0.002209436333329,True
mp-1228820,CsHgBrCl2,Tier 1 (Standard),1.3956175,1.2215730378562153,0.041569281233338,True
mp-1113442,Cs2TlAgCl6,Tier 1 (Standard),1.2214938,1.2214938402175903,0.0,True
mp-1215699,Yb3Se4,Tier 2 (Exotic),1.2213515,1.2213515043258667,0.0,True
mp-1276812,VReO4,Tier 3 (Refractory),1.2826664,1.2211577091407448,0.015984601423618,True
mp-27396,NiCl2,Tier 1 (Standard),1.2203459,1.2203458547592163,0.0,True
mp-1036101,Mg14MnCrO16,Tier 1 (Standard),1.4320663,1.2202863304480218,0.049294735344827,True
mp-18913,Ba3Cr2O8,Tier 1 (Standard),1.2267098,1.2201160385408638,0.001791731538461,True
mp-1207222,Rb2VCl6,Tier 1 (Standard),1.2195331,1.219533085823059,0.0,True
mp-1025373,TcF6,Tier 1 (Standard),1.3351451,1.219300541294842,0.028921843571428,True
mp-776046,TiFe3Sb2(PO4)6,Tier 1 (Standard),1.4013937,1.2191986866177844,0.043336613541665,True
mp-616166,Ba2Ho(CuO2)3,Tier 2 (Exotic),1.2622601,1.217860433104313,0.011724907041664,True
mp-1227002,CeTiNbO6,Tier 3 (Refractory),1.2178282,1.2178281545639038,0.0,True
mp-759968,Na2BiO3,Tier 1 (Standard),1.2177088,1.2177088260650635,0.0,True
mp-1188185,Yb2Se3,Tier 2 (Exotic),1.2171946,1.2171945571899414,0.0,True
